free  energy   TOTEN,energy  without entropy,energy(sigma->0),kin. lattice  EKIN_LAT,nose potential ES,nose kinetic   EPS,total energy   ETOTAL,(temperature
-921.84106139,-921.88882145,-921.85698141,0.0,-2.71769,0.023243,-917.016781,543.62
-921.76143797,-921.80754043,-921.77680546,0.0,-2.653866,0.028167,-917.016641,532.9
-921.67606383,-921.72059875,-921.69090881,0.0,-2.584799,0.031958,-917.016505,521.47
-921.58596673,-921.62903022,-921.60032123,0.0,-2.512304,0.034238,-917.016336,509.56
-921.49224933,-921.53393835,-921.50614567,0.0,-2.43827,0.034777,-917.016175,497.41
-921.39609391,-921.43650327,-921.4095637,0.0,-2.364629,0.033514,-917.016043,485.23
-921.29864006,-921.33786134,-921.31171382,0.0,-2.293312,0.030561,-917.015953,473.25
-921.20091889,-921.23903931,-921.2136257,0.0,-2.226224,0.026196,-917.015864,461.65
-921.10393235,-921.1410369,-921.11630053,0.0,-2.165205,0.02084,-917.015846,450.62
-921.00839263,-921.04456351,-921.02044959,0.0,-2.112007,0.015031,-917.015799,440.29
-920.91524121,-920.95055834,-920.92701358,0.0,-2.068272,0.009385,-917.015824,430.8
-920.82517036,-920.859712,-920.83668424,0.0,-2.035505,0.004564,-917.01574,422.27
-920.73925962,-920.77310033,-920.75053986,0.0,-2.015062,0.001228,-917.01572,414.82
-920.6579933,-920.69120319,-920.66906327,0.0,-2.008124,0.0,-917.015701,408.54
-920.58175304,-920.61439614,-920.59263407,0.0,-2.01569,0.001425,-917.015706,403.47
-920.51096781,-920.54310076,-920.52167879,0.0,-2.038566,0.005936,-917.015681,399.68
-920.44608967,-920.47778216,-920.45665383,0.0,-2.077352,0.013828,-917.01563,397.23
-920.3873463,-920.41861775,-920.39777012,0.0,-2.132438,0.025232,-917.015522,396.14
-920.33495916,-920.36584088,-920.34525307,0.0,-2.203996,0.040101,-917.015447,396.46
-920.28896095,-920.31947683,-920.29913291,0.0,-2.291974,0.058202,-917.015307,398.2
-920.24935537,-920.27952705,-920.2594126,0.0,-2.396098,0.079114,-917.015194,401.36
-920.21582993,-920.24567906,-920.22577964,0.0,-2.515863,0.102239,-917.015046,405.93
-920.18821289,-920.21776816,-920.19806464,0.0,-2.650545,0.126823,-917.014913,411.91
-920.16607624,-920.19534469,-920.17583239,0.0,-2.799192,0.151973,-917.014756,419.25
-920.1490524,-920.17813455,-920.15874645,0.0,-2.96064,0.1767,-917.014656,427.91
-920.13661689,-920.16561954,-920.14628444,0.0,-3.133512,0.199957,-917.014541,437.83
-920.12822081,-920.15724654,-920.13789605,0.0,-3.31623,0.220686,-917.014424,448.95
-920.12329022,-920.15250756,-920.13302933,0.0,-3.507031,0.237872,-917.014327,461.15
-920.12116175,-920.15076798,-920.13103049,0.0,-3.703974,0.250601,-917.014301,474.32
-920.12080669,-920.15100145,-920.13087161,0.0,-3.904969,0.258119,-917.014271,488.28
-920.12118867,-920.15223829,-920.13153854,0.0,-4.107797,0.259897,-917.014226,502.85
-920.12135821,-920.15351744,-920.13207796,0.0,-4.310146,0.255676,-917.014228,517.8
-920.1202329,-920.15374966,-920.13140515,0.0,-4.50964,0.245499,-917.014312,532.87
-920.11660047,-920.15169603,-920.12829899,0.0,-4.703887,0.229739,-917.014403,547.78
-920.10946502,-920.14631653,-920.12174885,0.0,-4.890518,0.209087,-917.014504,562.25
-920.09787875,-920.13660174,-920.11078642,0.0,-5.067237,0.184528,-917.014673,575.95
